IDP_type	IDP	model_name	Spearman	Pearson	R2	is_kept
dMRI	IDP-25254	ridge	0.068787915075035	0.0694027783843185	0.00470412937154918	FALSE
dMRI	IDP-25255	ridge	0.0590176053057573	0.0630195158903626	0.00394803784019038	FALSE
dMRI	IDP-25256	ridge	0.0728512991808254	0.0708126507751355	0.00500704437026456	FALSE
dMRI	IDP-25257	ridge	0.0687355886989327	0.068332187392101	0.0045910522677135	FALSE
dMRI	IDP-25258	ridge	0.0936194093385723	0.0877324912615142	0.00764149980965889	FALSE
dMRI	IDP-25259	ridge	0.0854433982201474	0.0821595812951203	0.00667599719174905	FALSE
dMRI	IDP-25260	ridge	0.175408606762905	0.180859736987936	0.0323760721585986	TRUE
dMRI	IDP-25261	ridge	0.171312153158059	0.176347942677113	0.0310925007977921	TRUE
dMRI	IDP-25262	ridge	0.0930190441023672	0.092131680961986	0.00807792957229569	FALSE
dMRI	IDP-25263	ridge	0.105882555018347	0.110010860651294	0.0120873684195865	TRUE
dMRI	IDP-25264	ridge	0.141872014987984	0.146185560208955	0.0212571826510622	TRUE
dMRI	IDP-25265	ridge	0.129114297678121	0.130712940274904	0.0170691817926322	TRUE
dMRI	IDP-25266	ridge	0.155080906047515	0.159701175240823	0.0254644858637967	TRUE
dMRI	IDP-25267	ridge	0.127160805923398	0.132034813378481	0.0173966681430536	TRUE
dMRI	IDP-25268	ridge	0.102965038168913	0.106005095813999	0.0111687357380944	TRUE
dMRI	IDP-25269	ridge	0.0909665821009248	0.0951897590839275	0.00874880037475001	FALSE
dMRI	IDP-25270	ridge	0.131687764148703	0.132387505754346	0.0175036971481594	TRUE
dMRI	IDP-25271	ridge	0.112885078017104	0.116228151497498	0.013505247381294	TRUE
dMRI	IDP-25272	ridge	0.127135174808649	0.131089920931635	0.0169499918098678	TRUE
dMRI	IDP-25273	ridge	0.127535247676397	0.128869120716584	0.0163770849400141	TRUE
dMRI	IDP-25274	ridge	0.105797982346067	0.105167153191695	0.0110032437422997	TRUE
dMRI	IDP-25275	ridge	0.10107793403237	0.101850523682465	0.0102669160727787	TRUE
dMRI	IDP-25276	ridge	0.109781830635648	0.111096445927554	0.0123349709705042	TRUE
dMRI	IDP-25277	ridge	0.105675364778076	0.105943569938957	0.0111571033058109	TRUE
dMRI	IDP-25278	ridge	0.115418269447584	0.11800094833701	0.0139038059494695	TRUE
dMRI	IDP-25279	ridge	0.106479455323172	0.110974588278254	0.0123063712849639	TRUE
dMRI	IDP-25280	ridge	0.129360563053769	0.132286936793557	0.0174676168155209	TRUE
dMRI	IDP-25281	ridge	0.130380858318428	0.133431507049165	0.0177442993672325	TRUE
dMRI	IDP-25282	ridge	0.128883251100261	0.130277790307813	0.0169096069380595	TRUE
