ukb_field	n2018_id
25318	IDP_dMRI_TBSS_L3_Anterior_corona_radiata_R
25319	IDP_dMRI_TBSS_L3_Anterior_corona_radiata_L
25320	IDP_dMRI_TBSS_L3_Superior_corona_radiata_R
25321	IDP_dMRI_TBSS_L3_Superior_corona_radiata_L
25322	IDP_dMRI_TBSS_L3_Posterior_corona_radiata_R
25323	IDP_dMRI_TBSS_L3_Posterior_corona_radiata_L
25324	IDP_dMRI_TBSS_L3_Posterior_thalamic_radiation_R
25325	IDP_dMRI_TBSS_L3_Posterior_thalamic_radiation_L
25326	IDP_dMRI_TBSS_L3_Sagittal_stratum_R
25327	IDP_dMRI_TBSS_L3_Sagittal_stratum_L
25328	IDP_dMRI_TBSS_L3_External_capsule_R
25329	IDP_dMRI_TBSS_L3_External_capsule_L
25330	IDP_dMRI_TBSS_L3_Cingulum_cingulate_gyrus_R
25331	IDP_dMRI_TBSS_L3_Cingulum_cingulate_gyrus_L
25332	IDP_dMRI_TBSS_L3_Cingulum_hippocampus_R
25333	IDP_dMRI_TBSS_L3_Cingulum_hippocampus_L
25334	IDP_dMRI_TBSS_L3_Fornix_cres+Stria_terminalis_R
25335	IDP_dMRI_TBSS_L3_Fornix_cres+Stria_terminalis_L
25336	IDP_dMRI_TBSS_L3_Superior_longitudinal_fasciculus_R
25337	IDP_dMRI_TBSS_L3_Superior_longitudinal_fasciculus_L
25338	IDP_dMRI_TBSS_L3_Superior_fronto-occipital_fasciculus_R
25339	IDP_dMRI_TBSS_L3_Superior_fronto-occipital_fasciculus_L
25340	IDP_dMRI_TBSS_L3_Uncinate_fasciculus_R
25341	IDP_dMRI_TBSS_L3_Uncinate_fasciculus_L
25342	IDP_dMRI_TBSS_L3_Tapetum_R
25343	IDP_dMRI_TBSS_L3_Tapetum_L
25344	IDP_dMRI_TBSS_ICVF_Middle_cerebellar_peduncle
25345	IDP_dMRI_TBSS_ICVF_Pontine_crossing_tract
25346	IDP_dMRI_TBSS_ICVF_Genu_of_corpus_callosum
25347	IDP_dMRI_TBSS_ICVF_Body_of_corpus_callosum
25348	IDP_dMRI_TBSS_ICVF_Splenium_of_corpus_callosum
25349	IDP_dMRI_TBSS_ICVF_Fornix
25350	IDP_dMRI_TBSS_ICVF_Corticospinal_tract_R
25351	IDP_dMRI_TBSS_ICVF_Corticospinal_tract_L
25352	IDP_dMRI_TBSS_ICVF_Medial_lemniscus_R
25353	IDP_dMRI_TBSS_ICVF_Medial_lemniscus_L
25354	IDP_dMRI_TBSS_ICVF_Inferior_cerebellar_peduncle_R
25355	IDP_dMRI_TBSS_ICVF_Inferior_cerebellar_peduncle_L
25356	IDP_dMRI_TBSS_ICVF_Superior_cerebellar_peduncle_R
